"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"85-89 years"	"85-89"	"2020 "	"2020"	"Female"	"F"	241356	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2020 "	"2020"	"Male"	"M"	197895	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2020 "	"2020"			439251	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"					8126319	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"1999"	"1999"	"Female"	"F"	151480	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"1999"	"1999"	"Male"	"M"	62511	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"1999"	"1999"			213991	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2000"	"2000"	"Female"	"F"	154844	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2000"	"2000"	"Male"	"M"	64439	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2000"	"2000"			219283	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2001"	"2001"	"Female"	"F"	155787	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2001"	"2001"	"Male"	"M"	65527	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2001"	"2001"			221314	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2002"	"2002"	"Female"	"F"	159770	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2002"	"2002"	"Male"	"M"	68817	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2002"	"2002"			228587	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2003"	"2003"	"Female"	"F"	161241	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2003"	"2003"	"Male"	"M"	70162	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2003"	"2003"			231403	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2004"	"2004"	"Female"	"F"	157493	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2004"	"2004"	"Male"	"M"	70168	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2004"	"2004"			227661	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2005"	"2005"	"Female"	"F"	164680	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2005"	"2005"	"Male"	"M"	75026	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2005"	"2005"			239706	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2006"	"2006"	"Female"	"F"	162848	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2006"	"2006"	"Male"	"M"	75514	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2006"	"2006"			238362	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2007"	"2007"	"Female"	"F"	162703	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2007"	"2007"	"Male"	"M"	77477	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2007"	"2007"			240180	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2008"	"2008"	"Female"	"F"	169166	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2008"	"2008"	"Male"	"M"	82215	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2008"	"2008"			251381	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2009"	"2009"	"Female"	"F"	162834	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2009"	"2009"	"Male"	"M"	82700	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2009"	"2009"			245534	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2010"	"2010"	"Female"	"F"	170938	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2010"	"2010"	"Male"	"M"	88586	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2010"	"2010"			259524	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2011"	"2011"	"Female"	"F"	179839	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2011"	"2011"	"Male"	"M"	94374	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2011"	"2011"			274213	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2012"	"2012"	"Female"	"F"	185024	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2012"	"2012"	"Male"	"M"	99249	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2012"	"2012"			284273	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2013"	"2013"	"Female"	"F"	190137	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2013"	"2013"	"Male"	"M"	104050	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2013"	"2013"			294187	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2014"	"2014"	"Female"	"F"	192979	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2014"	"2014"	"Male"	"M"	107387	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2014"	"2014"			300366	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2015"	"2015"	"Female"	"F"	201120	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2015"	"2015"	"Male"	"M"	112676	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2015"	"2015"			313796	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2016"	"2016"	"Female"	"F"	197434	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2016"	"2016"	"Male"	"M"	113337	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2016"	"2016"			310771	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2017"	"2017"	"Female"	"F"	202170	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2017"	"2017"	"Male"	"M"	117273	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2017"	"2017"			319443	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2018"	"2018"	"Female"	"F"	201265	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2018"	"2018"	"Male"	"M"	118804	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2018"	"2018"			320069	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2019"	"2019"	"Female"	"F"	198208	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2019"	"2019"	"Male"	"M"	119275	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2019"	"2019"			317483	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2020 "	"2020"	"Female"	"F"	226542	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2020 "	"2020"	"Male"	"M"	139144	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"2020 "	"2020"			365686	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"					5917213	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"1999"	"1999"	"Female"	"F"	65223	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"1999"	"1999"	"Male"	"M"	18111	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"1999"	"1999"			83334	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2000"	"2000"	"Female"	"F"	66089	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2000"	"2000"	"Male"	"M"	18552	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2000"	"2000"			84641	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2001"	"2001"	"Female"	"F"	67222	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2001"	"2001"	"Male"	"M"	18732	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2001"	"2001"			85954	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2002"	"2002"	"Female"	"F"	68760	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2002"	"2002"	"Male"	"M"	19522	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2002"	"2002"			88282	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2003"	"2003"	"Female"	"F"	70399	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2003"	"2003"	"Male"	"M"	19872	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2003"	"2003"			90271	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2004"	"2004"	"Female"	"F"	67626	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2004"	"2004"	"Male"	"M"	19820	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2004"	"2004"			87446	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2005"	"2005"	"Female"	"F"	71789	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2005"	"2005"	"Male"	"M"	20972	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2005"	"2005"			92761	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2006"	"2006"	"Female"	"F"	71068	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2006"	"2006"	"Male"	"M"	21168	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2006"	"2006"			92236	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2007"	"2007"	"Female"	"F"	72375	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2007"	"2007"	"Male"	"M"	22102	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2007"	"2007"			94477	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2008"	"2008"	"Female"	"F"	76535	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2008"	"2008"	"Male"	"M"	23331	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2008"	"2008"			99866	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2009"	"2009"	"Female"	"F"	73925	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2009"	"2009"	"Male"	"M"	24195	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2009"	"2009"			98120	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2010"	"2010"	"Female"	"F"	78711	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2010"	"2010"	"Male"	"M"	25973	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2010"	"2010"			104684	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2011"	"2011"	"Female"	"F"	82163	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2011"	"2011"	"Male"	"M"	27447	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2011"	"2011"			109610	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2012"	"2012"	"Female"	"F"	83374	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2012"	"2012"	"Male"	"M"	29435	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2012"	"2012"			112809	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2013"	"2013"	"Female"	"F"	85985	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2013"	"2013"	"Male"	"M"	30779	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2013"	"2013"			116764	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2014"	"2014"	"Female"	"F"	86181	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2014"	"2014"	"Male"	"M"	32226	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2014"	"2014"			118407	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2015"	"2015"	"Female"	"F"	92471	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2015"	"2015"	"Male"	"M"	35157	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2015"	"2015"			127628	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2016"	"2016"	"Female"	"F"	94467	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2016"	"2016"	"Male"	"M"	36909	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2016"	"2016"			131376	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2017"	"2017"	"Female"	"F"	100903	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2017"	"2017"	"Male"	"M"	40205	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2017"	"2017"			141108	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2018"	"2018"	"Female"	"F"	103026	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2018"	"2018"	"Male"	"M"	41820	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2018"	"2018"			144846	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2019"	"2019"	"Female"	"F"	103562	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2019"	"2019"	"Male"	"M"	43054	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2019"	"2019"			146616	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2020 "	"2020"	"Female"	"F"	120674	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2020 "	"2020"	"Male"	"M"	50562	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"2020 "	"2020"			171236	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"					2422472	Not Applicable	Not Applicable
	"100+ years"	"100+"	"1999"	"1999"	"Female"	"F"	15077	Not Applicable	Not Applicable
	"100+ years"	"100+"	"1999"	"1999"	"Male"	"M"	2836	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"1999"	"1999"			17913	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2000"	"2000"	"Female"	"F"	15560	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2000"	"2000"	"Male"	"M"	2874	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2000"	"2000"			18434	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2001"	"2001"	"Female"	"F"	15619	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2001"	"2001"	"Male"	"M"	2869	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2001"	"2001"			18488	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2002"	"2002"	"Female"	"F"	15892	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2002"	"2002"	"Male"	"M"	2930	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2002"	"2002"			18822	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2003"	"2003"	"Female"	"F"	16330	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2003"	"2003"	"Male"	"M"	3001	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2003"	"2003"			19331	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2004"	"2004"	"Female"	"F"	15531	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2004"	"2004"	"Male"	"M"	2995	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2004"	"2004"			18526	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2005"	"2005"	"Female"	"F"	16318	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2005"	"2005"	"Male"	"M"	2986	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2005"	"2005"			19304	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2006"	"2006"	"Female"	"F"	16195	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2006"	"2006"	"Male"	"M"	3087	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2006"	"2006"			19282	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2007"	"2007"	"Female"	"F"	16593	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2007"	"2007"	"Male"	"M"	3173	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2007"	"2007"			19766	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2008"	"2008"	"Female"	"F"	17563	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2008"	"2008"	"Male"	"M"	3329	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2008"	"2008"			20892	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2009"	"2009"	"Female"	"F"	17016	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2009"	"2009"	"Male"	"M"	3376	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2009"	"2009"			20392	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2010"	"2010"	"Female"	"F"	18222	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2010"	"2010"	"Male"	"M"	3607	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2010"	"2010"			21829	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2011"	"2011"	"Female"	"F"	19071	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2011"	"2011"	"Male"	"M"	3739	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2011"	"2011"			22810	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2012"	"2012"	"Female"	"F"	19870	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2012"	"2012"	"Male"	"M"	4093	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2012"	"2012"			23963	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2013"	"2013"	"Female"	"F"	20642	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2013"	"2013"	"Male"	"M"	4347	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2013"	"2013"			24989	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2014"	"2014"	"Female"	"F"	21351	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2014"	"2014"	"Male"	"M"	4563	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2014"	"2014"			25914	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2015"	"2015"	"Female"	"F"	22591	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2015"	"2015"	"Male"	"M"	4939	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2015"	"2015"			27530	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2016"	"2016"	"Female"	"F"	22790	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2016"	"2016"	"Male"	"M"	5046	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2016"	"2016"			27836	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2017"	"2017"	"Female"	"F"	23926	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2017"	"2017"	"Male"	"M"	5437	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2017"	"2017"			29363	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2018"	"2018"	"Female"	"F"	24554	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2018"	"2018"	"Male"	"M"	5695	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2018"	"2018"			30249	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2019"	"2019"	"Female"	"F"	24775	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2019"	"2019"	"Male"	"M"	5956	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2019"	"2019"			30731	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2020 "	"2020"	"Female"	"F"	29313	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2020 "	"2020"	"Male"	"M"	7319	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"	"2020 "	"2020"			36632	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"					512996	Not Applicable	Not Applicable
"Total"							56801571	6746356647	842.0
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: CDCWonderAllCause2020"
"Five-Year Age Groups: < 1 year; 1-4 years; 5-9 years; 10-14 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39"
"years; 40-44 years; 45-49 years; 50-54 years; 55-59 years; 60-64 years ; 65-69 years; 70-74 years; 75-79 years; 80-84 years;"
"85-89 years; 90-94 years; 95-99 years; 100+ years"
"Gender: Female; Male"
"Group By: Five-Year Age Groups; Year; Gender"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Nov 15, 2022 8:27:13 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Nov 15, 2022 8:27:13 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Ages 85-100."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
