"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"2001"	"2001"	"Male"	"M"	9766	10547387	92.6
"Total"	"15-19 years"	"15-19"	"2001"	"2001"			13555	20456284	66.3
	"15-19 years"	"15-19"	"2002"	"2002"	"Female"	"F"	3968	9981879	39.8
	"15-19 years"	"15-19"	"2002"	"2002"	"Male"	"M"	9844	10628491	92.6
"Total"	"15-19 years"	"15-19"	"2002"	"2002"			13812	20610370	67.0
	"15-19 years"	"15-19"	"2003"	"2003"	"Female"	"F"	3889	10086567	38.6
	"15-19 years"	"15-19"	"2003"	"2003"	"Male"	"M"	9706	10710599	90.6
"Total"	"15-19 years"	"15-19"	"2003"	"2003"			13595	20797166	65.4
	"15-19 years"	"15-19"	"2004"	"2004"	"Female"	"F"	4028	10242793	39.3
	"15-19 years"	"15-19"	"2004"	"2004"	"Male"	"M"	9678	10859759	89.1
"Total"	"15-19 years"	"15-19"	"2004"	"2004"			13706	21102552	64.9
	"15-19 years"	"15-19"	"2005"	"2005"	"Female"	"F"	3817	10434789	36.6
	"15-19 years"	"15-19"	"2005"	"2005"	"Male"	"M"	9886	11051425	89.5
"Total"	"15-19 years"	"15-19"	"2005"	"2005"			13703	21486214	63.8
	"15-19 years"	"15-19"	"2006"	"2006"	"Female"	"F"	3821	10597293	36.1
	"15-19 years"	"15-19"	"2006"	"2006"	"Male"	"M"	9918	11210416	88.5
"Total"	"15-19 years"	"15-19"	"2006"	"2006"			13739	21807709	63.0
	"15-19 years"	"15-19"	"2007"	"2007"	"Female"	"F"	3741	10731326	34.9
	"15-19 years"	"15-19"	"2007"	"2007"	"Male"	"M"	9558	11336490	84.3
"Total"	"15-19 years"	"15-19"	"2007"	"2007"			13299	22067816	60.3
	"15-19 years"	"15-19"	"2008"	"2008"	"Female"	"F"	3449	10805148	31.9
	"15-19 years"	"15-19"	"2008"	"2008"	"Male"	"M"	8958	11405732	78.5
"Total"	"15-19 years"	"15-19"	"2008"	"2008"			12407	22210880	55.9
	"15-19 years"	"15-19"	"2009"	"2009"	"Female"	"F"	3344	10804571	30.9
	"15-19 years"	"15-19"	"2009"	"2009"	"Male"	"M"	8176	11388239	71.8
"Total"	"15-19 years"	"15-19"	"2009"	"2009"			11520	22192810	51.9
	"15-19 years"	"15-19"	"2010"	"2010"	"Female"	"F"	3021	10736677	28.1
	"15-19 years"	"15-19"	"2010"	"2010"	"Male"	"M"	7866	11303666	69.6
"Total"	"15-19 years"	"15-19"	"2010"	"2010"			10887	22040343	49.4
	"15-19 years"	"15-19"	"2011"	"2011"	"Female"	"F"	2976	10525097	28.3
	"15-19 years"	"15-19"	"2011"	"2011"	"Male"	"M"	7618	11118946	68.5
"Total"	"15-19 years"	"15-19"	"2011"	"2011"			10594	21644043	48.9
	"15-19 years"	"15-19"	"2012"	"2012"	"Female"	"F"	2850	10397841	27.4
	"15-19 years"	"15-19"	"2012"	"2012"	"Male"	"M"	7224	10962861	65.9
"Total"	"15-19 years"	"15-19"	"2012"	"2012"			10074	21360702	47.2
	"15-19 years"	"15-19"	"2013"	"2013"	"Female"	"F"	2721	10312774	26.4
	"15-19 years"	"15-19"	"2013"	"2013"	"Male"	"M"	6759	10846190	62.3
"Total"	"15-19 years"	"15-19"	"2013"	"2013"			9480	21158964	44.8
	"15-19 years"	"15-19"	"2014"	"2014"	"Female"	"F"	2758	10283624	26.8
	"15-19 years"	"15-19"	"2014"	"2014"	"Male"	"M"	6828	10784023	63.3
"Total"	"15-19 years"	"15-19"	"2014"	"2014"			9586	21067647	45.5
	"15-19 years"	"15-19"	"2015"	"2015"	"Female"	"F"	2999	10311036	29.1
	"15-19 years"	"15-19"	"2015"	"2015"	"Male"	"M"	7187	10797867	66.6
"Total"	"15-19 years"	"15-19"	"2015"	"2015"			10186	21108903	48.3
	"15-19 years"	"15-19"	"2016"	"2016"	"Female"	"F"	3099	10328153	30.0
