"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2007"	"2007"	"60-64 years "	"60-64"	627	7639198	8.2
	"Female"	"F"	"2007"	"2007"	"65-69 years"	"65-69"	265	5824805	4.5
	"Female"	"F"	"2007"	"2007"	"70-74 years"	"70-74"	167	4770997	3.5
	"Female"	"F"	"2007"	"2007"	"75-79 years"	"75-79"	169	4225224	4.0
	"Female"	"F"	"2007"	"2007"	"80-84 years"	"80-84"	133	3469267	3.8
	"Female"	"F"	"2007"	"2007"	"85-89 years"	"85-89"	97	Not Applicable	Not Applicable
	"Female"	"F"	"2007"	"2007"	"90-94 years"	"90-94"	54	Not Applicable	Not Applicable
	"Female"	"F"	"2007"	"2007"	"95-99 years"	"95-99"	13	Not Applicable	Not Applicable
	"Female"	"F"	"2008"	"2008"	"1-4 years"	"1-4"	28	7891294	0.4
	"Female"	"F"	"2008"	"2008"	"10-14 years"	"10-14"	15	10108474	Unreliable
	"Female"	"F"	"2008"	"2008"	"15-19 years"	"15-19"	237	10805148	2.2
	"Female"	"F"	"2008"	"2008"	"20-24 years"	"20-24"	639	10339566	6.2
	"Female"	"F"	"2008"	"2008"	"25-29 years"	"25-29"	982	10393532	9.4
	"Female"	"F"	"2008"	"2008"	"30-34 years"	"30-34"	1084	9625879	11.3
	"Female"	"F"	"2008"	"2008"	"35-39 years"	"35-39"	1531	10437809	14.7
	"Female"	"F"	"2008"	"2008"	"40-44 years"	"40-44"	2151	10757924	20.0
	"Female"	"F"	"2008"	"2008"	"45-49 years"	"45-49"	2726	11556983	23.6
	"Female"	"F"	"2008"	"2008"	"50-54 years"	"50-54"	2253	11040553	20.4
	"Female"	"F"	"2008"	"2008"	"55-59 years"	"55-59"	1405	9702238	14.5
	"Female"	"F"	"2008"	"2008"	"60-64 years "	"60-64"	652	7979525	8.2
	"Female"	"F"	"2008"	"2008"	"65-69 years"	"65-69"	346	6147908	5.6
	"Female"	"F"	"2008"	"2008"	"70-74 years"	"70-74"	188	4856336	3.9
	"Female"	"F"	"2008"	"2008"	"75-79 years"	"75-79"	161	4178497	3.9
	"Female"	"F"	"2008"	"2008"	"80-84 years"	"80-84"	130	3477946	3.7
	"Female"	"F"	"2008"	"2008"	"85-89 years"	"85-89"	98	Not Applicable	Not Applicable
	"Female"	"F"	"2008"	"2008"	"90-94 years"	"90-94"	64	Not Applicable	Not Applicable
	"Female"	"F"	"2008"	"2008"	"95-99 years"	"95-99"	11	Not Applicable	Not Applicable
	"Female"	"F"	"2009"	"2009"	"< 1 year"	"1"	19	1959169	Unreliable
	"Female"	"F"	"2009"	"2009"	"1-4 years"	"1-4"	20	7943260	0.3
	"Female"	"F"	"2009"	"2009"	"10-14 years"	"10-14"	16	10088732	Unreliable
	"Female"	"F"	"2009"	"2009"	"15-19 years"	"15-19"	213	10804571	2.0
	"Female"	"F"	"2009"	"2009"	"20-24 years"	"20-24"	681	10459413	6.5
	"Female"	"F"	"2009"	"2009"	"25-29 years"	"25-29"	996	10466871	9.5
	"Female"	"F"	"2009"	"2009"	"30-34 years"	"30-34"	1179	9800559	12.0
	"Female"	"F"	"2009"	"2009"	"35-39 years"	"35-39"	1466	10292169	14.2
	"Female"	"F"	"2009"	"2009"	"40-44 years"	"40-44"	2014	10549441	19.1
	"Female"	"F"	"2009"	"2009"	"45-49 years"	"45-49"	2765	11576574	23.9
	"Female"	"F"	"2009"	"2009"	"50-54 years"	"50-54"	2455	11221280	21.9
	"Female"	"F"	"2009"	"2009"	"55-59 years"	"55-59"	1527	9946217	15.4
	"Female"	"F"	"2009"	"2009"	"60-64 years "	"60-64"	704	8383324	8.4
	"Female"	"F"	"2009"	"2009"	"65-69 years"	"65-69"	367	6407878	5.7
	"Female"	"F"	"2009"	"2009"	"70-74 years"	"70-74"	205	4967279	4.1
	"Female"	"F"	"2009"	"2009"	"75-79 years"	"75-79"	188	4135780	4.5
	"Female"	"F"	"2009"	"2009"	"80-84 years"	"80-84"	146	3454860	4.2
	"Female"	"F"	"2009"	"2009"	"85-89 years"	"85-89"	94	Not Applicable	Not Applicable
	"Female"	"F"	"2009"	"2009"	"90-94 years"	"90-94"	52	Not Applicable	Not Applicable
	"Female"	"F"	"2009"	"2009"	"95-99 years"	"95-99"	17	Not Applicable	Not Applicable
	"Female"	"F"	"2010"	"2010"	"1-4 years"	"1-4"	19	7952058	Unreliable
	"Female"	"F"	"2010"	"2010"	"10-14 years"	"10-14"	17	10097332	Unreliable
	"Female"	"F"	"2010"	"2010"	"15-19 years"	"15-19"	241	10736677	2.2
	"Female"	"F"	"2010"	"2010"	"20-24 years"	"20-24"	775	10571823	7.3
	"Female"	"F"	"2010"	"2010"	"25-29 years"	"25-29"	1168	10466258	11.2
	"Female"	"F"	"2010"	"2010"	"30-34 years"	"30-34"	1345	9965599	13.5
	"Female"	"F"	"2010"	"2010"	"35-39 years"	"35-39"	1633	10137620	16.1
	"Female"	"F"	"2010"	"2010"	"40-44 years"	"40-44"	1967	10496987	18.7
	"Female"	"F"	"2010"	"2010"	"45-49 years"	"45-49"	2653	11499506	23.1
	"Female"	"F"	"2010"	"2010"	"50-54 years"	"50-54"	2555	11364851	22.5
	"Female"	"F"	"2010"	"2010"	"55-59 years"	"55-59"	1685	10141157	16.6
	"Female"	"F"	"2010"	"2010"	"60-64 years "	"60-64"	869	8740424	9.9
	"Female"	"F"	"2010"	"2010"	"65-69 years"	"65-69"	389	6582716	5.9
	"Female"	"F"	"2010"	"2010"	"70-74 years"	"70-74"	211	5034194	4.2
	"Female"	"F"	"2010"	"2010"	"75-79 years"	"75-79"	162	4135407	3.9
	"Female"	"F"	"2010"	"2010"	"80-84 years"	"80-84"	123	3448953	3.6
	"Female"	"F"	"2010"	"2010"	"85-89 years"	"85-89"	118	Not Applicable	Not Applicable
	"Female"	"F"	"2010"	"2010"	"90-94 years"	"90-94"	56	Not Applicable	Not Applicable
	"Female"	"F"	"2010"	"2010"	"95-99 years"	"95-99"	14	Not Applicable	Not Applicable
	"Female"	"F"	"2011"	"2011"	"1-4 years"	"1-4"	17	7909731	Unreliable
	"Female"	"F"	"2011"	"2011"	"10-14 years"	"10-14"	18	10117822	Unreliable
	"Female"	"F"	"2011"	"2011"	"15-19 years"	"15-19"	239	10525097	2.3
	"Female"	"F"	"2011"	"2011"	"20-24 years"	"20-24"	796	10841132	7.3
	"Female"	"F"	"2011"	"2011"	"25-29 years"	"25-29"	1191	10518279	11.3
	"Female"	"F"	"2011"	"2011"	"30-34 years"	"30-34"	1542	10228056	15.1
	"Female"	"F"	"2011"	"2011"	"35-39 years"	"35-39"	1651	9832998	16.8
	"Female"	"F"	"2011"	"2011"	"40-44 years"	"40-44"	2206	10571486	20.9
	"Female"	"F"	"2011"	"2011"	"45-49 years"	"45-49"	2749	11205304	24.5
	"Female"	"F"	"2011"	"2011"	"50-54 years"	"50-54"	2751	11493652	23.9
	"Female"	"F"	"2011"	"2011"	"55-59 years"	"55-59"	1831	10439497	17.5
	"Female"	"F"	"2011"	"2011"	"60-64 years "	"60-64"	947	9264438	10.2
	"Female"	"F"	"2011"	"2011"	"65-69 years"	"65-69"	449	6801858	6.6
	"Female"	"F"	"2011"	"2011"	"70-74 years"	"70-74"	231	5203567	4.4
	"Female"	"F"	"2011"	"2011"	"75-79 years"	"75-79"	135	4155949	3.2
	"Female"	"F"	"2011"	"2011"	"80-84 years"	"80-84"	151	3446248	4.4
	"Female"	"F"	"2011"	"2011"	"85-89 years"	"85-89"	112	Not Applicable	Not Applicable
	"Female"	"F"	"2011"	"2011"	"90-94 years"	"90-94"	51	Not Applicable	Not Applicable
	"Female"	"F"	"2011"	"2011"	"95-99 years"	"95-99"	18	Not Applicable	Not Applicable
	"Female"	"F"	"2012"	"2012"	"< 1 year"	"1"	14	1926339	Unreliable
	"Female"	"F"	"2012"	"2012"	"1-4 years"	"1-4"	15	7856870	Unreliable
	"Female"	"F"	"2012"	"2012"	"10-14 years"	"10-14"	14	10102004	Unreliable
	"Female"	"F"	"2012"	"2012"	"15-19 years"	"15-19"	182	10397841	1.8
	"Female"	"F"	"2012"	"2012"	"20-24 years"	"20-24"	806	11033747	7.3
	"Female"	"F"	"2012"	"2012"	"25-29 years"	"25-29"	1268	10553440	12.0
	"Female"	"F"	"2012"	"2012"	"30-34 years"	"30-34"	1605	10417089	15.4
	"Female"	"F"	"2012"	"2012"	"35-39 years"	"35-39"	1627	9773586	16.6
	"Female"	"F"	"2012"	"2012"	"40-44 years"	"40-44"	2000	10569227	18.9
	"Female"	"F"	"2012"	"2012"	"45-49 years"	"45-49"	2706	10962854	24.7
	"Female"	"F"	"2012"	"2012"	"50-54 years"	"50-54"	2810	11499014	24.4
	"Female"	"F"	"2012"	"2012"	"55-59 years"	"55-59"	1996	10704108	18.6
	"Female"	"F"	"2012"	"2012"	"60-64 years "	"60-64"	948	9279200	10.2
	"Female"	"F"	"2012"	"2012"	"65-69 years"	"65-69"	518	7370497	7.0
	"Female"	"F"	"2012"	"2012"	"70-74 years"	"70-74"	225	5412033	4.2
	"Female"	"F"	"2012"	"2012"	"75-79 years"	"75-79"	174	4198131	4.1
	"Female"	"F"	"2012"	"2012"	"80-84 years"	"80-84"	137	3426353	4.0
	"Female"	"F"	"2012"	"2012"	"85-89 years"	"85-89"	95	Not Applicable	Not Applicable
	"Female"	"F"	"2012"	"2012"	"90-94 years"	"90-94"	59	Not Applicable	Not Applicable
	"Female"	"F"	"2012"	"2012"	"95-99 years"	"95-99"	19	Not Applicable	Not Applicable
	"Female"	"F"	"2013"	"2013"	"< 1 year"	"1"	17	1925056	Unreliable
	"Female"	"F"	"2013"	"2013"	"1-4 years"	"1-4"	18	7790614	Unreliable
	"Female"	"F"	"2013"	"2013"	"10-14 years"	"10-14"	18	10097931	Unreliable
	"Female"	"F"	"2013"	"2013"	"15-19 years"	"15-19"	208	10312774	2.0
	"Female"	"F"	"2013"	"2013"	"20-24 years"	"20-24"	861	11116473	7.7
	"Female"	"F"	"2013"	"2013"	"25-29 years"	"25-29"	1273	10620319	12.0
	"Female"	"F"	"2013"	"2013"	"30-34 years"	"30-34"	1622	10582777	15.3
